country,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,generation_gwh_2017,estimated_generation_gwh_2017
USA,USA0059371,1.9,40.2003,-74.5761,Solar,,,,2012,G&S Solar Installers LLC,2.276,2.61
USA,USA0060858,2,42.0761,-71.4227,Solar,,,,2012,126 Grove Solar LLC,2.251,2.64
USA,USA0057310,1.3,33.7943,-118.2414,Solar,,,,2011,Konoike Pacific,1.66,1.8
USA,USA0057458,3.8,40.5358,-74.3913,Solar,,,,2011,Avidan Energy Solutions,4.819,5.17
USA,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000,Rochelle Municipal Utilities,0.264,14.81
USA,USA0060542,1.3,44.4777,-73.1534,Solar,,,,2011,158th Fighter Wing,1.616,1.34
USA,USA0058187,1.9,40.5161,-74.34,Solar,,,,2012,180 Raritan Energy Solutions  LLC,2.547,2.58
USA,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991,Banyan St./GAP 191 Peachtree Owner  LLC,0,1.4
USA,USA0059822,2,42.1091,-72.1712,Solar,,,,2014,SE Solarne2 LLC,2.722,2.85
USA,USA0059821,3,42.1093,-72.1705,Solar,,,,2014,SH Solarne2 LLC,5.041,4.37
USA,USA0058918,1.2,36.67,-119.4158,Solar,,,,2014,Solarenewal LLC,3.016,2.62
USA,USA0058920,1.5,37.3522,-120.5069,Solar,,,,2014,Solarenewal LLC,3.626,3.3
USA,USA0058919,1.3,39.2917,-121.6697,Solar,,,,2014,Solarenewal LLC,2.646,2.48
USA,USA0061195,2,35.2441,-81.4304,Solar,,,,2017,Soltage LLC,1.207,3.25
USA,USA0059365,4.9,40.2058,-74.5797,Solar,,,,2014,Altus Power America Management  LLC,5.259,8.01
USA,USA0057871,1,34.0269,-118.2242,Solar,,,,2012,Los Angeles Department of Water & Power,1.35,1.45
USA,USA0059485,2.2,42.5814,-71.7622,Solar,,,,2014,NuGen Capital Management,1.372,2.88
USA,USA0061518,4.3,42.0552,-72.5218,Solar,,,,2017,301 Chestnut Solar NG  LLC,1.847,7
USA,USA0061224,1.8,40.8942,-74.7302,Solar,,,,2011,350 Clark Solar NG  LLC,1.143,2.34
USA,USA0059370,1.8,40.1964,-74.5836,Solar,,,,2012,G&S Solar Installers LLC,1.93,2.47
USA,USA0061237,2.5,41.8094,-71.1922,Solar,,,,2012,433 Purchase Solar NG  LLC,3.662,3.45
USA,USA0058455,3,44.5281,-121.1528,Hydro,,,,2015,EBD Hydro LLC,6.349,5.49
USA,USA0007268,161.7,42.7553,-86.0853,Gas,Oil,,,1996.131107,City of Holland,0,570.23
USA,USA0059534,5,35.4325,-78.4117,Solar,,,,2015,USF Surry LLC,2.747,9.72
USA,USA0057640,1,40.1392,-75.1917,Solar,,,,2011,500 Virginia Solar  LP,1.174,1.28
USA,USA0056196,528,40.7889,-73.9069,Gas,Oil,,,2006,New York Power Authority,2223.712995,1861.98
USA,USA0057363,1.3,36.4972,-77.6058,Solar,,,,2014,510 REPP One LLC,1.447,2.23
USA,USA0002503,17.1,40.7713,-73.9912,Gas,Oil,,,1969,Consolidated Edison Co-NY Inc,0,60.3
USA,USA0059046,2.5,42.6267,-71.7428,Solar,,,,2014,651 Chase Solar NG LLC,4.034,3.27
USA,USA0002504,37,40.768,-73.9515,Oil,,,,1968,Consolidated Edison Co-NY Inc,0.504,21.68
USA,USA0052162,14.1,35.1011,-118.3372,Wind,,,,1985,Tehachapi Wind Wall  LLC,16.521,22.04
USA,USA0052163,21.2,35.1011,-118.3372,Wind,,,,1985,Tehachapi Wind Wall  LLC,16.355,23.01
USA,USA0003272,12,35.0314,-81.4936,Hydro,,,,1910,Duke Energy Carolinas  LLC,50.585,46.22
USA,USA0006137,706.8,37.9053,-87.715,Coal,Oil,Gas,,1985.994058,Southern Indiana Gas & Elec Co,1942.599978,3264.83
USA,USA0000293,12.8,37.151,-119.5047,Hydro,,,,1910,Pacific Gas & Electric Co.,34.926,46.38
USA,USA0006635,84,41.4482,-72.8349,Gas,Waste,Oil,,2007,Connecticut Mun Elec Engy Coop,4.333,296.22
USA,USA0056076,3.8,33.5828,-86.7799,Gas,,,,1997,Drummond Company  Inc.,2.763,13.4
USA,USA0061525,5,35.7287,-79.7483,Solar,,,,2018,Cypress Creek Renewables,0,8.14
USA,USA0058699,2,35.1697,-119.1056,Biomass,,,,2014,ABEC Bidart-Old River LLC,12.124,
USA,USA0058798,1.3,39.4375,-74.6906,Solar,,,,2013,Sustainable Power Group  LLC,1.907,1.98
USA,USA0057845,3.5,39.4175,-74.5422,Waste,,,,2005,AC Landfill Energy LLC,8.24,0.63
USA,USA0060802,1.4,39.4606,-74.6809,Solar,,,,2013,GSRP,1.985,2.14
USA,USA0061247,4.1,28.4845,-81.1741,Solar,,,,2017,ACE-Stanton A  LLC,2.308,6.68
USA,USA0061246,4.8,28.4774,-81.1804,Solar,,,,2017,ACE-Stanton  LLC,2.755,7.82
USA,USA0057938,20.8,32.0039,-93.3911,Cogeneration,,,,2011,ADA Carbon Solutions (Red River)  LLC,0,
USA,USA0060184,2.8,32.7755,-83.4348,Waste,,,,2011,ADS Renewable Energy- Wolf Creek  LLC,18.118,0.5
USA,USA0060618,2,40.8928,-83.8863,Storage,,,,2009,Ohio Power Co,0,
USA,USA0060617,2,41.2326,-85.3149,Storage,,,,2009,Indiana Michigan Power Co,0,
USA,USA0061388,7.1,30.5236,-81.6864,Solar,,,,2017,AEP Onsite Partners,8.259,11.56
USA,USA0059995,2,38.3622,-82.1256,Storage,,,,2009,Appalachian Power Co,0,
USA,USA0000315,1115,33.7688,-118.1009,Gas,,,,1962.887892,AES Alamitos LLC,855.083,3932.04
USA,USA0010673,203,21.3034,-158.1065,Coal,Oil,Other,,1992,AES Hawaii LLC,1395.546954,937.69
USA,USA0000335,218,33.6439,-117.9792,Gas,,,,1959,AES Huntington Beach LLC,408.97,768.77
USA,USA0000994,2154.8,38.5281,-87.2525,Coal,Oil,,,1976.75775,Indianapolis Power & Light Co,9341.582954,9953.39
USA,USA0000356,821.4,33.8504,-118.395,Gas,,,,1962.430241,AES Redondo Beach LLC,514.578,2896.66
USA,USA0010678,229,39.5952,-78.7453,Coal,,,,1999,AES WR Ltd Partnership,1108.237006,1057.79
USA,USA0059949,11,39.5931,-78.7453,Storage,,,,2016,AES Tait LLC,-2.639,
USA,USA0057554,5.5,38.9579,-104.8066,Solar,,,,2011,Solar Star Colorado II LLC,11.203,9.75
USA,USA0060986,2.5,42.5019,-71.7378,Solar,,,,2017,Terraform Arcadia,3.621,4.07
USA,USA0055672,692,33.1189,-82.8608,Gas,,,,2002,SEPG Operating Services  LLC ALS,1.145,2440.33
USA,USA0058344,5,35.4189,-77.9856,Solar,,,,2013,AM Best Farm,8.689,9
USA,USA0056018,98.6,33.1661,-86.2825,Gas,,,,2004,Alabama Municipal Elec Authority,25.61,347.71
USA,USA0058082,3.5,41.4067,-84.1108,Solar,,,,2012,American Mun Power-Ohio  Inc,4.905,4.59
USA,USA0060680,7.4,33.6267,-85.9695,Solar,,,,2017,Alabama Power Co,7.668,12.05
USA,USA0055211,578,42.1106,-71.4535,Gas,,,,2002.5,ANP Bellingham Energy Company LLC,1999.288,2038.31
USA,USA0055212,578,42.0599,-71.5158,Gas,,,,2001,ANP Blackstone Energy Company LLC,2017.379,2038.31
USA,USA0059610,20,33.74,-117.0106,Solar,,,,2015,AP North Lake I  LP,41.996,51.89
USA,USA0061282,7.9,39.3975,-76.2991,Gas,Oil,,,2017,US Dept of Army  Garrison  APG,50.523,27.85
USA,USA0058889,1,38.7614,-122.9753,Solar,,,,2009,Perpetual Energy Systems,1.518,1.73
USA,USA0061154,1.3,33.8364,-117.9169,Gas,,,,2016,Bloom Energy,10.401,4.58
USA,USA0061153,1.3,37.4176,-121.9445,Gas,,,,2016,Bloom Energy,10.879,4.58
USA,USA0057378,253,34.7803,-118.4244,Solar,,,,2014,AV Solar Ranch 1 LLC,607.949,649.52
USA,USA0060085,3.7,34.7489,-117.9736,Solar,,,,2017,Tesla Inc.,8.472,6.02
USA,USA0003581,2.8,29.594,-98.0407,Hydro,,,,1927,Guadalupe Blanco River Authority,11.599,7.87
USA,USA0003338,111,45.4299,-98.494,Gas,Oil,,,2003.918919,NorthWestern Energy - (SD),10.379,391.44
USA,USA0007789,15.6,36.2399,-106.423,Hydro,,,,1993.230769,Los Alamos County,50.851,39.62
USA,USA0055173,1389.2,30.4286,-92.4131,Gas,,,,2002,Cleco Power LLC,4767.264,4899
USA,USA0059543,1.6,42.4733,-71.4306,Solar,,,,2014,Heliovaas LLC,1.941,2.36
USA,USA0058632,3,32.1825,-110.8633,Solar,,,,2010,Tesla Inc.,4.402,5.33
USA,USA0058270,4.7,41.7989,-70.7436,Solar,,,,2012,Ahana Renewables  LLC,5.819,6.61
USA,USA0058271,1,41.6622,-71.0425,Solar,,,,2012,Ahana Renewables  LLC,1.449,1.42
USA,USA0059128,3.2,41.7144,-70.9972,Solar,,,,2013,Ahana Renewables  LLC,4.19,5.02
USA,USA0059121,1.9,41.7517,-70.9706,Solar,,,,2013,Ahana Renewables  LLC,2.437,2.93
USA,USA0010819,33.1,42.9627,-85.4941,Gas,,,,1990,Ada Cogeneration Ltd Partnership,165.704,116.72
USA,USA0050433,1.4,42.9506,-85.4859,Hydro,,,,1984,STS Hydropower  LLC,3.708,5.07
USA,USA0056810,174.8,41.4236,-94.665,Wind,,,,2009,MidAmerican Energy Co,471.946,517.28
USA,USA0060772,3.1,39.4114,-74.5309,Solar,,,,2011.580645,GSRP,5.085,4.57
USA,USA0059850,1.2,39.7867,-104.5877,Solar,,,,2015,Adams Community Solar Garden III LLC,2.447,2.37
USA,USA0059849,1.2,39.7876,-104.5859,Solar,,,,2015,Adams Community Solar Garden LLC,0.781,2.37
USA,USA0059775,3,42.6,-72.2,Solar,,,,2013,Adams Farm Solar LLC,3.816,4.01
USA,USA0059637,154.3,40.92,-94.6717,Wind,,,,2015.688918,MidAmerican Energy Co,485.774,536.94
USA,USA0056307,23.3,43.5548,-92.7241,Wind,,,,2003.420601,Consolidated Edison Development Inc.,55.159,66.06
USA,USA0057375,20,44.9169,-94.7356,Wind,,,,2011,BEAM US  LLC,49.221,61.92
USA,USA0059441,20,34.5572,-117.3775,Solar,,,,2015,Adelanto Solar  LLC,60.618,54.15
USA,USA0059440,7,34.5572,-117.3775,Solar,,,,2015,Adelanto Solar II  LLC,18.563,17.04
USA,USA0057305,10,34.5508,-117.4353,Solar,,,,2012,Los Angeles Department of Water & Power,17.226,18.04
USA,USA0060027,20,37.1206,-120.3249,Solar,,,,2016,Sustainable Power Group  LLC,39.394,45.72
USA,USA0058136,6.8,42.3622,-89.8036,Gas,,,,2006.5,Adkins Energy LLC,29.432,23.98
USA,USA0057811,1.2,37.3306,-121.8931,Gas,,,,2010,Bloom Energy,8.757,4.23
USA,USA0057651,20,35.1028,-118.9544,Solar,,,,2014,Southern Power Co,49.616,51.44
USA,USA0001956,2,43.6371,-95.9328,Oil,,,,2005,Adrian Public Utilities Comm,0.02,1.17
USA,USA0054903,2.4,41.891,-83.9929,Waste,,,,1995,LES Project Holdings LLC,15.591,0.43
USA,USA0059788,1,42.015,-72.5119,Solar,,,,2014,Tesla Inc.,1.308,1.33
USA,USA0056225,3,36.4725,-101.3278,Wind,,,,2004,Aeolus Wind LLC,1.111,8.25
USA,USA0055184,6.2,35.9533,-120.86,Gas,,,,1989,Aera Energy LLC-San Ardo,47.553,21.86
USA,USA0057697,3,38.6135,-121.1629,Solar,,,,2010,Altus Power America Management  LLC,5.12,5.08
USA,USA0057698,2.7,38.6086,-121.1703,Solar,,,,2010,Altus Power America Management  LLC,2.945,4.57
USA,USA0055210,287,32.1142,-106.8465,Gas,,,,2003.916376,Public Service Co of NM,0,1012.1
USA,USA0055576,1.9,47.0053,-96.4356,Wind,,,,2001,CHI Operations Inc,4.324,5.04
USA,USA0059028,1.5,42.0819,-72.6144,Solar,,,,2012,Citizens Enterprises Corporation,1.992,1.9
